"Hi! Saw you guys got Wildest Dreams trending on tiktok, thought you should have my version 😘😘😘😘

 ",530683,126166,2021-09-17 13:18:53,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
@arloparks @MercuryPrize This is so well deserved. Your album is stunning ❤️❤️❤️❤️,32084,4282,2021-09-10 15:27:31,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"My buddy @aaron_dessner got us all together to make “how long do you think it’s gonna last?” and it would be very smile-inducing for us if you checked it out. 😘 @BRMadjv 

 ",142522,19747,2021-08-27 17:09:08,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"Red (my version) vinyl is up for presale on my site and oh I’m on tiktok now let the games begin 😺 #SwiftTok 

",201425,34796,2021-08-23 15:26:06,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"We’ll also be making a bunch of new ones too, since Red (Taylor’s Version) includes so many songs you haven’t heard yet. Till then, I’ll be counting down and picturing it all in my head. In burning red.",195750,25143,2021-08-06 14:02:39,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"Congrats pals, you guessed the titles and ft. artists on Red (my version). The vault tracks will ft. @ChrisStapleton, @phoebe_bridgers, @mistersmims &amp; @edsheeran❗️I can’t wait to dust off our highest hopes &amp; relive these memories together. Pre-order now  ",363264,75617,2021-08-06 14:02:39,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"Love is a ruthless game 😎
#iunlockedthevault

 ",291919,52921,2021-08-05 18:04:29,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
Your next clue will be in the spot where you hear red…,381793,42895,2021-08-05 16:23:23,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"*presses post*
*cackles maniacally*

Level: casually cruel in the name of being honest ",403873,76282,2021-08-05 14:01:28,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
It’s august 🥰,888949,193251,2021-08-01 18:17:24,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"RT @NBCOlympics: They've worked for this.
They've dreamed about this.
They belong here.

Couldn't have said it better ourselves, @taylorswi…",0,10160,2021-07-29 18:36:03,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"To say thank you for all you have done to make this album what it was, I wanted to give you the original version of The Lakes. Happy 1 year anniversary to Rebekah, Betty, Inez, James, Augustine and the stories we all created around them. Happy Anniversary, folklore. 🌿",217320,33422,2021-07-24 13:03:58,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
It’s been 1 year since we escaped the real world together and imagined ourselves someplace simpler. With tall trees &amp; salt air. Where you can wear lace nightgowns that make you look like a Victorian ghost &amp; no one will side eye you cause no one is around  ,393283,80550,2021-07-24 13:03:57,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"You wouldn’t be the first renegade to need somebody 🌹 

Collage by Graham Tolbert
Photo by James Reynolds ",190995,28024,2021-07-02 19:05:20,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"When @Aaron_Dessner came into my life, I was ushered into his world of free-flowing creativity where you don’t overthink, you just make music. A song we wrote for his project @BRMadjv (which also features ⚡️Justin Vernon✨) is out! It’s called Renegade.  ",188136,40037,2021-07-02 04:11:34,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"Happy Father’s Day to all the dads but mostly mine, who called me yesterday to remind me he still has guitar picks from the Red Tour, ‘if they’re needed’.",502865,49558,2021-06-20 18:13:03,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
"The next album that I’ll be releasing is my version of Red, which will be out on November 19. This will be the first time you hear all 30 songs that were meant to go on Red. And hey, one of them is even ten minutes long🧣  ",752383,209103,2021-06-18 17:52:56,"Happy, free, confused and lonely at the same time. Nov. 19th, 2021"
