title,genre,year,runtime,rating,votes,plot,imdb_url
Chhakka Panja 2,"Comedy, Drama",2017,8280.0,6.6,290.0,Chhakka Panja 2 continues with new story of Raja and his friend at the village.,https://www.imdb.com/title/tt7229666/
Chhakka Panja 3,Comedy,2018,,6.3,96.0,"When she learns about the worst condition of the school, the headmaster's daughter decides to stay in the village to make it a better place.",https://www.imdb.com/title/tt8393764/
Intu Mintu Londonma,Romance,2018,7200.0,7.3,71.0,"When Ishan (Dhiraj Magar) and Meera (Samragyee Rajya Laxmi Shah) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice.",https://www.imdb.com/title/tt7672868/
Kabaddi Kabaddi Kabaddi,"Comedy, Drama, Romance",2019,,8.6,9.0,Add a Plot,https://www.imdb.com/title/tt10942220/
Captain,"Drama, Sport",2019,,3.2,46.0,Father's dedication to guiding his son to becoming a better footballer.,https://www.imdb.com/title/tt8387542/
Bulbul,Drama,2019,5700.0,7.1,18.0,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.,https://www.imdb.com/title/tt8622286/
Kabaddi Kabaddi,"Comedy, Drama",2015,8100.0,7.9,343.0,Kaji dreams of marrying Maiya but things go wrong when Bamkaji returns to the village who also wants to marry Maiya.,https://www.imdb.com/title/tt5225580/
Nai Nabhannu La 2,Romance,2014,8520.0,6.9,7.0,Add a Plot,https://www.imdb.com/title/tt8677256/
Saili,"Drama, Romance",2019,8400.0,8.5,17.0,Add a Plot,https://www.imdb.com/title/tt7868256/
Death Zone: Cleaning Mount Everest,"Documentary, Adventure, Drama",2018,5940.0,7.7,102.0,"A team of 20 elite Nepali climbers venture into the Death Zone of Mount Everest to restore their sacred mountain and the contaminated water source of 1.3 billion people. They ascend the highest point on the planet to the 150 bodies of deceased climbers and 100,000 pounds of rubbish that remain on the high slopes of Everest. This is the self-documented story of their life-threatening journey.",https://www.imdb.com/title/tt1999130/
Jatrai Jatra,Comedy,2019,,8.2,52.0,The story begins from where it was ended in part 1. The three guys got out from the jail after serving three years of sentencing and they part their ways but they again fall in trap of greed. This time it is about a gold. There are many twist and turns.,https://www.imdb.com/title/tt8881326/
Muna Madan,Drama,2003,9780.0,7.0,104.0,"An epic tragedy, based on Nepal's most famous epic poem. Madan, a lower-class worker, is forced by poverty and mounting debts to go to Lhasa, Tibet, leaving behind his lonely mother and beloved wife, Muna. However, tragedy befalls him on the way home.",https://www.imdb.com/title/tt0304435/
Jhola,"Drama, History",2013,5400.0,7.7,249.0,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal.",https://www.imdb.com/title/tt3700482/
Prem Geet,Romance,2016,8280.0,7.5,30.0,"Prem and Geet meet each other on the way to Kagbeni. Geet escaped from home because of her grandmother's continuous insistence to marry. Prem was on the way due to his personal deeds, but he was too pressurized to marry. Both fakes their marriage to get rid of continuous insistence, but ultimately fall in love then after. But their fake marriage creates problems and ultimately they are separated from each other. Both try to convince their parents, but fails.geet decided to die and she meet with prem .at last geet sucide and prem also decided to die .",https://www.imdb.com/title/tt6705126/
Shatru Gate,"Comedy, Drama",2018,8280.0,6.8,100.0,A wedding conflict between two families.,https://www.imdb.com/title/tt7786264/
Jhyanakuti,"Comedy, Drama, Romance",2017,8280.0,8.0,27.0,A hilarious ride of a married couple n their adorable 8 months old baby boy. Beautiful Dhampus as It's set and majestic views and mountains as the backdrop.,https://www.imdb.com/title/tt7676212/
Seto Surya,"Adventure, Drama",2016,5340.0,7.1,397.0,"Anti-regime partisan Chandra confronts physical, social and political obstacles for his father's funeral. His search for a solution takes him to neighboring mountain villages and encounters with the police and rebel guerrillas. A portrait of post-civil war Nepal during the fragile deadlocked peace process.",https://www.imdb.com/title/tt3638644/
Kalo Pothi,"Action, Drama, History",2015,5400.0,7.2,466.0,"They are bonded, nonetheless, by friendship and affection for a hen, whose eggs just might make a difference to Prakash's impoverished family. When the boy's father sells the bird, the chums desperately attempt to raise funds in order to buy it back.",https://www.imdb.com/title/tt4991660/
A Mero Hajur 2,"Drama, Romance",2017,8280.0,7.7,194.0,"A Man stalks a girl, after while they fall in love, but their relative don't want the girl to be with that man.",https://www.imdb.com/title/tt6944688/
Chhakka Panja,"Comedy, Drama, Family",2016,7800.0,6.8,160.0,"Story of five friends Raja (Deepak Raj Giri), Saraswoti (Jeetu Nepal), Magne (Kedar Ghimire) and Buddhi (Buddhi Tamang). Raja is rich but illiterate and enjoys life, and tells his friends to not get married or hold any job. However, he secretly has affairs with married women.Then one day Raja gets married to Champa (Priyanka Karki), and the story enters a serious mode.",https://www.imdb.com/title/tt6160932/
Kabaddi,"Comedy, Drama, Romance",2014,7380.0,8.2,434.0,"Kazi a young aimless man dreams of marrying Maiya, a village girl by any means although she wants to go to the city for higher education. Their lives are thrown into turmoil with the arrival of Bibek, a charming young man from the city.",https://www.imdb.com/title/tt3696800/
Password,,2019,7500.0,,,Add a Plot,https://www.imdb.com/title/tt8885872/
Jai Bhole,Comedy,2018,8280.0,6.0,20.0,Friendship between two people and love.,https://www.imdb.com/title/tt8289002/
Pashupati Prasad,"Drama, Romance",2016,8400.0,8.8,1.0,When a man named Pashuati comes to Kathmandu to pay his father loans while in Kathmandu he discovers Pashupatinath where he fights the danger of Kathmandu.,https://www.imdb.com/title/tt5691226/
Daal Bhat Tarkari,Comedy,2019,,2.2,19.0,Add a Plot,https://www.imdb.com/title/tt8848374/
The Man from Kathmandu Vol. 1,"Action, Drama",2019,,7.5,20.0,"More than 20000 foreign fighters have joined ISIS, this story is different..",https://www.imdb.com/title/tt5364878/
