country,population,outlet,starbucks_per_million_inhabitants,code
Argentina,41446246,73,1.76,ARG
Aruba,102911,3,29.15,ABW
Australia,23130900,24,1.04,AUS
Austria,8473786,17,2.01,AUT
"Bahamas, The",377374,9,23.85,BHS
Bahrain,1332171,17,12.76,BHR
Belgium,11195138,14,1.25,BEL
Brazil,200361925,85,0.42,BRA
Bulgaria,7265115,5,0.69,BGR
Canada,35158304,1425,40.53,CAN
Chile,17619708,60,3.41,CHL
China,1357380000,1462,1.08,CHN
Colombia,48321405,2,0.04,COL
Costa Rica,4872166,4,0.82,CRI
Cyprus,1141166,9,7.89,CYP
Czech Republic,10521468,18,1.71,CZE
Denmark,5613706,12,2.14,DNK
"Egypt, Arab Rep.",82056378,23,0.28,EGY
El Salvador,6340454,5,0.79,SLV
Finland,5439407,3,0.55,FIN
France,66028467,101,1.53,FRA
Germany,80621788,159,1.97,DEU
Greece,11032328,30,2.72,GRC
Guatemala,15468203,4,0.26,GTM
"Hong Kong SAR, China",7187500,8,1.11,HKG
Hungary,9897247,9,0.91,HUN
India,1252139596,53,0.04,IND
Indonesia,249865631,168,0.67,IDN
Ireland,4595281,40,8.7,IRL
Japan,127338621,1052,8.26,JPN
Jordan,6459000,10,1.55,JOR
"Korea, Rep.",50219669,684,13.62,KOR
Kuwait,3368572,70,20.78,KWT
Lebanon,4467390,20,4.48,LBN
Malaysia,29716965,172,5.79,MYS
Mexico,122332399,423,3.46,MEX
Monaco,37831,1,26.43,MCO
Morocco,33008150,5,0.15,MAR
Netherland Antilles,227049,2,8.81,ANT
Netherlands,16804224,45,2.68,NLD
New Zealand,4470800,26,5.82,NZL
Norway,5084190,11,2.16,NOR
Oman,3632444,6,1.65,OMN
Peru,30375603,73,2.4,PER
Philippines,98393574,234,2.38,PHL
Poland,38530725,37,0.96,POL
Portugal,10459806,8,0.76,PRT
Puerto Rico,3615086,21,5.81,PRI
Qatar,2168673,13,5.99,QAT
Romania,19963581,10,0.5,ROU
Russian Federation,143499861,85,0.59,RUS
Saudi Arabia,28828870,65,2.25,SAU
Singapore,5399200,106,19.63,SGP
Spain,46647421,84,1.8,ESP
Sweden,9592552,6,0.63,SWE
Switzerland,8081482,59,7.3,CHE
Taiwan,23340000,316,13.54,TWN
Thailand,67010502,204,3.04,THA
Turkey,74932641,213,2.84,TUR
United Arab Emirates,9346129,106,11.34,ARE
United Kingdom,64097085,770,12.01,GBR
United States,316128839,11851,37.49,USA
Vietnam,89708900,11,0.12,VNM
